Datum,Wert,Einheit
30.07. 02:00,0.0,kW
30.07. 02:15,0.0,kW
30.07. 02:30,0.0,kW
30.07. 02:45,0.0,kW
30.07. 03:00,0.0,kW
30.07. 03:15,0.0,kW
30.07. 03:30,0.0,kW
30.07. 03:45,0.0,kW
30.07. 04:00,0.0,kW
30.07. 04:15,0.0,kW
30.07. 04:30,0.0,kW
30.07. 04:45,0.0,kW
30.07. 05:00,0.0,kW
30.07. 05:15,0.0,kW
30.07. 05:30,0.0,kW
30.07. 05:45,0.0,kW
30.07. 06:00,0.0,kW
30.07. 06:15,0.0,kW
30.07. 06:30,0.07,kW
30.07. 06:45,0.12,kW
30.07. 07:00,0.18,kW
30.07. 07:15,0.26,kW
30.07. 07:30,0.35,kW
30.07. 07:45,0.43,kW
30.07. 08:00,0.63,kW
30.07. 08:15,0.96,kW
30.07. 08:30,1.23,kW
30.07. 08:45,1.23,kW
30.07. 09:00,1.56,kW
30.07. 09:15,2.38,kW
30.07. 09:30,3.3,kW
30.07. 09:45,3.98,kW
30.07. 10:00,4.68,kW
30.07. 10:15,5.05,kW
30.07. 10:30,5.94,kW
30.07. 10:45,6.4,kW
30.07. 11:00,5.51,kW
30.07. 11:15,5.81,kW
30.07. 11:30,6.81,kW
30.07. 11:45,7.92,kW
30.07. 12:00,6.34,kW
30.07. 12:15,4.62,kW
30.07. 12:30,7.13,kW
30.07. 12:45,8.49,kW
30.07. 13:00,8.62,kW
30.07. 13:15,9.21,kW
30.07. 13:30,8.06,kW
30.07. 13:45,9.05,kW
30.07. 14:00,7.98,kW
30.07. 14:15,7.15,kW
30.07. 14:30,6.81,kW
30.07. 14:45,5.22,kW
30.07. 15:00,5.32,kW
30.07. 15:15,7.6,kW
30.07. 15:30,3.37,kW
30.07. 15:45,5.12,kW
30.07. 16:00,5.55,kW
30.07. 16:15,6.27,kW
30.07. 16:30,8.06,kW
30.07. 16:45,6.18,kW
30.07. 17:00,6.06,kW
30.07. 17:15,6.75,kW
30.07. 17:30,3.9,kW
30.07. 17:45,3.95,kW
30.07. 18:00,4.78,kW
30.07. 18:15,3.98,kW
30.07. 18:30,3.83,kW
30.07. 18:45,3.55,kW
30.07. 19:00,2.98,kW
30.07. 19:15,1.51,kW
30.07. 19:30,0.74,kW
30.07. 19:45,0.61,kW
30.07. 20:00,0.61,kW
30.07. 20:15,0.57,kW
30.07. 20:30,0.38,kW
30.07. 20:45,0.16,kW
30.07. 21:00,0.05,kW
30.07. 21:15,0.01,kW
30.07. 21:30,0.0,kW
30.07. 21:45,0.0,kW
30.07. 22:00,0.0,kW
30.07. 22:15,0.0,kW
30.07. 22:30,0.0,kW
30.07. 22:45,0.0,kW
30.07. 23:00,0.0,kW
30.07. 23:15,0.0,kW
30.07. 23:30,0.0,kW
30.07. 23:45,0.0,kW
31.07. 00:00,0.0,kW
31.07. 00:15,0.0,kW
31.07. 00:30,0.0,kW
31.07. 00:45,0.0,kW
31.07. 01:00,0.0,kW
31.07. 01:15,0.0,kW
31.07. 01:30,0.0,kW
31.07. 01:45,0.0,kW
31.07. 02:00,0.0,kW
31.07. 02:15,0.0,kW
31.07. 02:30,0.0,kW
31.07. 02:45,0.0,kW
31.07. 03:00,0.0,kW
31.07. 03:15,0.0,kW
31.07. 03:30,0.0,kW
31.07. 03:45,0.0,kW
31.07. 04:00,0.0,kW
31.07. 04:15,0.0,kW
31.07. 04:30,0.0,kW
31.07. 04:45,0.0,kW
31.07. 05:00,0.0,kW
31.07. 05:15,0.0,kW
31.07. 05:30,0.0,kW
31.07. 05:45,0.0,kW
31.07. 06:00,0.0,kW
31.07. 06:15,0.0,kW
31.07. 06:30,0.1,kW
31.07. 06:45,0.1,kW
31.07. 07:00,0.16,kW
31.07. 07:15,0.33,kW
31.07. 07:30,0.33,kW
31.07. 07:45,0.59,kW
31.07. 08:00,0.86,kW
31.07. 08:15,0.88,kW
31.07. 08:30,1.06,kW
31.07. 08:45,1.28,kW
31.07. 09:00,1.44,kW
31.07. 09:15,1.79,kW
31.07. 09:30,2.77,kW
31.07. 09:45,3.55,kW
31.07. 10:00,2.68,kW
31.07. 10:15,5.13,kW
31.07. 10:30,6.17,kW
31.07. 10:45,4.93,kW
31.07. 11:00,3.36,kW
31.07. 11:15,4.7,kW
31.07. 11:30,6.36,kW
31.07. 11:45,3.92,kW
31.07. 12:00,4.17,kW
31.07. 12:15,3.17,kW
31.07. 12:30,7.83,kW
31.07. 12:45,7.08,kW
31.07. 13:00,5.9,kW
31.07. 13:15,9.73,kW
31.07. 13:30,8.29,kW
31.07. 13:45,7.89,kW
31.07. 14:00,8.97,kW
31.07. 14:15,8.84,kW
31.07. 14:30,6.77,kW
31.07. 14:45,6.84,kW
31.07. 15:00,8.0,kW
31.07. 15:15,8.06,kW
31.07. 15:30,3.51,kW
31.07. 15:45,3.35,kW
31.07. 16:00,3.94,kW
31.07. 16:15,4.49,kW
31.07. 16:30,3.32,kW
31.07. 16:45,6.19,kW
31.07. 17:00,4.92,kW
31.07. 17:15,5.19,kW
31.07. 17:30,6.01,kW
31.07. 17:45,3.85,kW
31.07. 18:00,5.09,kW
31.07. 18:15,4.47,kW
31.07. 18:30,4.01,kW
31.07. 18:45,3.28,kW
31.07. 19:00,2.99,kW
31.07. 19:15,2.35,kW
31.07. 19:30,1.76,kW
31.07. 19:45,0.8,kW
31.07. 20:00,0.28,kW
