Datum,Wert,Einheit
06.08. 01:45,0.0,kW
06.08. 02:00,0.0,kW
06.08. 02:15,0.0,kW
06.08. 02:30,0.0,kW
06.08. 02:45,0.0,kW
06.08. 03:00,0.0,kW
06.08. 03:15,0.0,kW
06.08. 03:30,0.0,kW
06.08. 03:45,0.0,kW
06.08. 04:00,0.0,kW
06.08. 04:15,0.0,kW
06.08. 04:30,0.0,kW
06.08. 04:45,0.0,kW
06.08. 05:00,0.0,kW
06.08. 05:15,0.0,kW
06.08. 05:30,0.0,kW
06.08. 05:45,0.0,kW
06.08. 06:00,0.0,kW
06.08. 06:15,0.0,kW
06.08. 06:30,0.0,kW
06.08. 06:45,0.11,kW
06.08. 07:00,0.22,kW
06.08. 07:15,0.25,kW
06.08. 07:30,0.23,kW
06.08. 07:45,0.28,kW
06.08. 08:00,0.42,kW
06.08. 08:15,0.8,kW
06.08. 08:30,0.96,kW
06.08. 08:45,0.97,kW
06.08. 09:00,1.14,kW
06.08. 09:15,1.84,kW
06.08. 09:30,2.97,kW
06.08. 09:45,3.94,kW
06.08. 10:00,4.77,kW
06.08. 10:15,5.36,kW
06.08. 10:30,5.84,kW
06.08. 10:45,6.42,kW
06.08. 11:00,6.83,kW
06.08. 11:15,7.32,kW
06.08. 11:30,6.26,kW
06.08. 11:45,7.08,kW
06.08. 12:00,6.83,kW
06.08. 12:15,7.35,kW
06.08. 12:30,8.63,kW
06.08. 12:45,8.68,kW
06.08. 13:00,8.78,kW
06.08. 13:15,8.88,kW
06.08. 13:30,9.02,kW
06.08. 13:45,9.03,kW
06.08. 14:00,9.06,kW
06.08. 14:15,9.06,kW
06.08. 14:30,8.98,kW
06.08. 14:45,8.9,kW
06.08. 15:00,8.74,kW
06.08. 15:15,8.59,kW
06.08. 15:30,8.41,kW
06.08. 15:45,8.2,kW
06.08. 16:00,7.94,kW
06.08. 16:15,7.67,kW
06.08. 16:30,7.39,kW
06.08. 16:45,7.05,kW
06.08. 17:00,6.71,kW
06.08. 17:15,6.33,kW
06.08. 17:30,5.92,kW
06.08. 17:45,5.42,kW
06.08. 18:00,5.01,kW
06.08. 18:15,4.49,kW
06.08. 18:30,3.98,kW
06.08. 18:45,3.5,kW
06.08. 19:00,2.97,kW
06.08. 19:15,2.38,kW
06.08. 19:30,1.57,kW
06.08. 19:45,0.72,kW
06.08. 20:00,0.29,kW
06.08. 20:15,0.21,kW
06.08. 20:30,0.13,kW
06.08. 20:45,0.07,kW
06.08. 21:00,0.03,kW
06.08. 21:15,0.0,kW
06.08. 21:30,0.0,kW
06.08. 21:45,0.0,kW
06.08. 22:00,0.0,kW
06.08. 22:15,0.0,kW
06.08. 22:30,0.0,kW
06.08. 22:45,0.0,kW
06.08. 23:00,0.0,kW
06.08. 23:15,0.0,kW
06.08. 23:30,0.0,kW
06.08. 23:45,0.0,kW
07.08. 00:00,0.0,kW
07.08. 00:15,0.0,kW
07.08. 00:30,0.0,kW
07.08. 00:45,0.0,kW
07.08. 01:00,0.0,kW
07.08. 01:15,0.0,kW
07.08. 01:30,0.0,kW
07.08. 01:45,0.0,kW
07.08. 02:00,0.0,kW
07.08. 02:15,0.0,kW
07.08. 02:30,0.0,kW
07.08. 02:45,0.0,kW
07.08. 03:00,0.0,kW
07.08. 03:15,0.0,kW
07.08. 03:30,0.0,kW
07.08. 03:45,0.0,kW
07.08. 04:00,0.0,kW
07.08. 04:15,0.0,kW
07.08. 04:30,0.0,kW
07.08. 04:45,0.0,kW
07.08. 05:00,0.0,kW
07.08. 05:15,0.0,kW
07.08. 05:30,0.0,kW
07.08. 05:45,0.0,kW
07.08. 06:00,0.0,kW
07.08. 06:15,0.0,kW
07.08. 06:30,0.0,kW
07.08. 06:45,0.05,kW
07.08. 07:00,0.11,kW
07.08. 07:15,0.15,kW
07.08. 07:30,0.22,kW
07.08. 07:45,0.27,kW
07.08. 08:00,0.37,kW
07.08. 08:15,0.78,kW
07.08. 08:30,0.99,kW
07.08. 08:45,0.89,kW
07.08. 09:00,1.14,kW
07.08. 09:15,1.79,kW
07.08. 09:30,3.17,kW
07.08. 09:45,3.9,kW
07.08. 10:00,4.78,kW
07.08. 10:15,5.4,kW
07.08. 10:30,5.86,kW
07.08. 10:45,6.32,kW
07.08. 11:00,6.79,kW
07.08. 11:15,7.11,kW
07.08. 11:30,7.44,kW
07.08. 11:45,7.79,kW
07.08. 12:00,8.07,kW
07.08. 12:15,8.32,kW
07.08. 12:30,8.63,kW
07.08. 12:45,8.81,kW
07.08. 13:00,8.9,kW
07.08. 13:15,9.05,kW
07.08. 13:30,9.09,kW
07.08. 13:45,9.14,kW
07.08. 14:00,9.14,kW
07.08. 14:15,9.06,kW
07.08. 14:30,8.98,kW
07.08. 14:45,8.87,kW
07.08. 15:00,8.73,kW
07.08. 15:15,8.62,kW
07.08. 15:30,8.39,kW
07.08. 15:45,8.12,kW
07.08. 16:00,7.88,kW
07.08. 16:15,7.54,kW
07.08. 16:30,7.34,kW
07.08. 16:45,7.02,kW
07.08. 17:00,6.6,kW
07.08. 17:15,6.25,kW
07.08. 17:30,5.86,kW
07.08. 17:45,5.41,kW
07.08. 18:00,4.87,kW
07.08. 18:15,4.46,kW
07.08. 18:30,3.97,kW
07.08. 18:45,3.47,kW
07.08. 19:00,2.86,kW
07.08. 19:15,2.23,kW
07.08. 19:30,1.71,kW
07.08. 19:45,0.56,kW
07.08. 20:00,0.26,kW
07.08. 20:15,0.19,kW
07.08. 20:30,0.12,kW
07.08. 20:45,0.07,kW
07.08. 21:00,0.03,kW
07.08. 21:15,0.0,kW
07.08. 21:30,0.0,kW
07.08. 21:45,0.0,kW
07.08. 22:00,0.0,kW
07.08. 22:15,0.0,kW
07.08. 22:30,0.0,kW
07.08. 22:45,0.0,kW
07.08. 23:00,0.0,kW
07.08. 23:15,0.0,kW
07.08. 23:30,0.0,kW
07.08. 23:45,0.0,kW
08.08. 00:00,0.0,kW
08.08. 00:15,0.0,kW
08.08. 00:30,0.0,kW
08.08. 00:45,0.0,kW
08.08. 01:00,0.0,kW
08.08. 01:15,0.0,kW
08.08. 01:30,0.0,kW
08.08. 01:45,0.0,kW
08.08. 02:00,0.0,kW
08.08. 02:15,0.0,kW
08.08. 02:30,0.0,kW
08.08. 02:45,0.0,kW
08.08. 03:00,0.0,kW
08.08. 03:15,0.0,kW
08.08. 03:30,0.0,kW
08.08. 03:45,0.0,kW
08.08. 04:00,0.0,kW
08.08. 04:15,0.0,kW
08.08. 04:30,0.0,kW
08.08. 04:45,0.0,kW
08.08. 05:00,0.0,kW
08.08. 05:15,0.0,kW
08.08. 05:30,0.0,kW
08.08. 05:45,0.0,kW
08.08. 06:00,0.0,kW
08.08. 06:15,0.0,kW
08.08. 06:30,0.0,kW
08.08. 06:45,0.03,kW
08.08. 07:00,0.1,kW
08.08. 07:15,0.14,kW
08.08. 07:30,0.19,kW
08.08. 07:45,0.24,kW
08.08. 08:00,0.33,kW
08.08. 08:15,0.72,kW
08.08. 08:30,0.89,kW
08.08. 08:45,0.86,kW
08.08. 09:00,0.98,kW
08.08. 09:15,1.68,kW
08.08. 09:30,2.76,kW
08.08. 09:45,3.89,kW
08.08. 10:00,4.6,kW
08.08. 10:15,5.28,kW
08.08. 10:30,5.72,kW
08.08. 10:45,6.06,kW
08.08. 11:00,6.54,kW
08.08. 11:15,6.88,kW
08.08. 11:30,7.22,kW
08.08. 11:45,7.48,kW
08.08. 12:00,7.71,kW
08.08. 12:15,8.12,kW
08.08. 12:30,8.23,kW
08.08. 12:45,8.29,kW
08.08. 13:00,8.59,kW
08.08. 13:15,8.55,kW
08.08. 13:30,8.84,kW
08.08. 13:45,8.85,kW
08.08. 14:00,8.82,kW
08.08. 14:15,8.78,kW
08.08. 14:30,8.68,kW
08.08. 14:45,8.52,kW
08.08. 15:00,8.44,kW
08.08. 15:15,8.3,kW
08.08. 15:30,8.03,kW
08.08. 15:45,7.86,kW
08.08. 16:00,7.62,kW
08.08. 16:15,7.44,kW
08.08. 16:30,7.06,kW
08.08. 16:45,6.75,kW
08.08. 17:00,6.35,kW
08.08. 17:15,5.98,kW
08.08. 17:30,5.49,kW
08.08. 17:45,5.12,kW
08.08. 18:00,4.66,kW
08.08. 18:15,4.18,kW
08.08. 18:30,3.7,kW
08.08. 18:45,3.16,kW
08.08. 19:00,2.61,kW
08.08. 19:15,2.04,kW
08.08. 19:30,1.57,kW
08.08. 19:45,0.68,kW
08.08. 20:00,0.28,kW
08.08. 20:15,0.19,kW
08.08. 20:30,0.12,kW
08.08. 20:45,0.06,kW
08.08. 21:00,0.02,kW
08.08. 21:15,0.0,kW
08.08. 21:30,0.0,kW
08.08. 21:45,0.0,kW
08.08. 22:00,0.0,kW
08.08. 22:15,0.0,kW
08.08. 22:30,0.0,kW
08.08. 22:45,0.0,kW
08.08. 23:00,0.0,kW
08.08. 23:15,0.0,kW
08.08. 23:30,0.0,kW
08.08. 23:45,0.0,kW
09.08. 00:00,0.0,kW
09.08. 00:15,0.0,kW
09.08. 00:30,0.0,kW
09.08. 00:45,0.0,kW
09.08. 01:00,0.0,kW
09.08. 01:15,0.0,kW
09.08. 01:30,0.0,kW
09.08. 01:45,0.0,kW
09.08. 02:00,0.0,kW
09.08. 02:15,0.0,kW
09.08. 02:30,0.0,kW
09.08. 02:45,0.0,kW
09.08. 03:00,0.0,kW
09.08. 03:15,0.0,kW
09.08. 03:30,0.0,kW
09.08. 03:45,0.0,kW
09.08. 04:00,0.0,kW
09.08. 04:15,0.0,kW
09.08. 04:30,0.0,kW
09.08. 04:45,0.0,kW
09.08. 05:00,0.0,kW
09.08. 05:15,0.0,kW
09.08. 05:30,0.0,kW
09.08. 05:45,0.0,kW
09.08. 06:00,0.0,kW
09.08. 06:15,0.0,kW
09.08. 06:30,0.0,kW
09.08. 06:45,0.03,kW
09.08. 07:00,0.1,kW
09.08. 07:15,0.15,kW
09.08. 07:30,0.21,kW
09.08. 07:45,0.26,kW
09.08. 08:00,0.35,kW
09.08. 08:15,0.7,kW
09.08. 08:30,0.9,kW
09.08. 08:45,0.76,kW
09.08. 09:00,0.86,kW
09.08. 09:15,1.56,kW
09.08. 09:30,2.78,kW
09.08. 09:45,3.53,kW
09.08. 10:00,4.48,kW
09.08. 10:15,5.16,kW
09.08. 10:30,5.62,kW
09.08. 10:45,6.03,kW
09.08. 11:00,6.44,kW
09.08. 11:15,6.77,kW
09.08. 11:30,7.15,kW
09.08. 11:45,7.44,kW
09.08. 12:00,7.72,kW
09.08. 12:15,7.94,kW
09.08. 12:30,8.17,kW
09.08. 12:45,8.37,kW
09.08. 13:00,8.6,kW
09.08. 13:15,8.73,kW
09.08. 13:30,8.75,kW
09.08. 13:45,8.74,kW
09.08. 14:00,8.81,kW
09.08. 14:15,8.74,kW
09.08. 14:30,8.71,kW
09.08. 14:45,8.6,kW
09.08. 15:00,8.4,kW
09.08. 15:15,8.32,kW
09.08. 15:30,8.13,kW
09.08. 15:45,7.87,kW
09.08. 16:00,7.71,kW
09.08. 16:15,5.34,kW
09.08. 16:30,7.13,kW
09.08. 16:45,6.62,kW
09.08. 17:00,6.38,kW
09.08. 17:15,5.62,kW
09.08. 17:30,5.6,kW
09.08. 17:45,5.17,kW
09.08. 18:00,4.73,kW
09.08. 18:15,4.2,kW
09.08. 18:30,3.63,kW
09.08. 18:45,3.18,kW
09.08. 19:00,2.63,kW
09.08. 19:15,2.1,kW
09.08. 19:30,1.56,kW
09.08. 19:45,0.63,kW
09.08. 20:00,0.29,kW
09.08. 20:15,0.18,kW
09.08. 20:30,0.11,kW
09.08. 20:45,0.06,kW
09.08. 21:00,0.02,kW
09.08. 21:15,0.0,kW
09.08. 21:30,0.0,kW
09.08. 21:45,0.0,kW
09.08. 22:00,0.0,kW
09.08. 22:15,0.0,kW
09.08. 22:30,0.0,kW
09.08. 22:45,0.0,kW
09.08. 23:00,0.0,kW
09.08. 23:15,0.0,kW
09.08. 23:30,0.0,kW
09.08. 23:45,0.0,kW
10.08. 00:00,0.0,kW
10.08. 00:15,0.0,kW
10.08. 00:30,0.0,kW
10.08. 00:45,0.0,kW
10.08. 01:00,0.0,kW
10.08. 01:15,0.0,kW
10.08. 01:30,0.0,kW
10.08. 01:45,0.0,kW
10.08. 02:00,0.0,kW
10.08. 02:15,0.0,kW
10.08. 02:30,0.0,kW
10.08. 02:45,0.0,kW
10.08. 03:00,0.0,kW
10.08. 03:15,0.0,kW
10.08. 03:30,0.0,kW
10.08. 03:45,0.0,kW
10.08. 04:00,0.0,kW
10.08. 04:15,0.0,kW
10.08. 04:30,0.0,kW
10.08. 04:45,0.0,kW
10.08. 05:00,0.0,kW
10.08. 05:15,0.0,kW
10.08. 05:30,0.0,kW
10.08. 05:45,0.0,kW
10.08. 06:00,0.0,kW
10.08. 06:15,0.0,kW
10.08. 06:30,0.0,kW
10.08. 06:45,0.03,kW
10.08. 07:00,0.11,kW
10.08. 07:15,0.15,kW
10.08. 07:30,0.22,kW
10.08. 07:45,0.28,kW
10.08. 08:00,0.33,kW
10.08. 08:15,0.66,kW
10.08. 08:30,0.85,kW
10.08. 08:45,0.74,kW
10.08. 09:00,0.79,kW
10.08. 09:15,1.37,kW
10.08. 09:30,2.57,kW
10.08. 09:45,3.65,kW
10.08. 10:00,4.49,kW
10.08. 10:15,5.21,kW
10.08. 10:30,5.67,kW
10.08. 10:45,6.15,kW
10.08. 11:00,6.57,kW
10.08. 11:15,6.92,kW
10.08. 11:30,7.37,kW
10.08. 11:45,7.61,kW
10.08. 12:00,7.89,kW
10.08. 12:15,8.09,kW
10.08. 12:30,8.39,kW
10.08. 12:45,8.47,kW
10.08. 13:00,8.69,kW
10.08. 13:15,8.79,kW
10.08. 13:30,8.82,kW
10.08. 13:45,8.9,kW
10.08. 14:00,8.83,kW
10.08. 14:15,8.92,kW
10.08. 14:30,8.8,kW
10.08. 14:45,8.72,kW
10.08. 15:00,8.56,kW
10.08. 15:15,8.44,kW
10.08. 15:30,8.31,kW
10.08. 15:45,8.02,kW
10.08. 16:00,7.75,kW
10.08. 16:15,7.11,kW
10.08. 16:30,7.05,kW
10.08. 16:45,5.24,kW
10.08. 17:00,5.82,kW
10.08. 17:15,4.64,kW
10.08. 17:30,2.65,kW
10.08. 17:45,3.71,kW
10.08. 18:00,2.8,kW
10.08. 18:15,3.47,kW
10.08. 18:30,3.63,kW
10.08. 18:45,3.16,kW
10.08. 19:00,2.64,kW
10.08. 19:15,2.1,kW
10.08. 19:30,1.54,kW
10.08. 19:45,0.6,kW
10.08. 20:00,0.28,kW
10.08. 20:15,0.18,kW
10.08. 20:30,0.12,kW
10.08. 20:45,0.06,kW
10.08. 21:00,0.02,kW
10.08. 21:15,0.0,kW
10.08. 21:30,0.0,kW
10.08. 21:45,0.0,kW
10.08. 22:00,0.0,kW
10.08. 22:15,0.0,kW
10.08. 22:30,0.0,kW
10.08. 22:45,0.0,kW
10.08. 23:00,0.0,kW
10.08. 23:15,0.0,kW
10.08. 23:30,0.0,kW
10.08. 23:45,0.0,kW
11.08. 00:00,0.0,kW
11.08. 00:15,0.0,kW
11.08. 00:30,0.0,kW
11.08. 00:45,0.0,kW
11.08. 01:00,0.0,kW
11.08. 01:15,0.0,kW
11.08. 01:30,0.0,kW
11.08. 01:45,0.0,kW
11.08. 02:00,0.0,kW
11.08. 02:15,0.0,kW
11.08. 02:30,0.0,kW
11.08. 02:45,0.0,kW
11.08. 03:00,0.0,kW
11.08. 03:15,0.0,kW
11.08. 03:30,0.0,kW
11.08. 03:45,0.0,kW
11.08. 04:00,0.0,kW
11.08. 04:15,0.0,kW
11.08. 04:30,0.0,kW
11.08. 04:45,0.0,kW
11.08. 05:00,0.0,kW
11.08. 05:15,0.0,kW
11.08. 05:30,0.0,kW
11.08. 05:45,0.0,kW
11.08. 06:00,0.0,kW
11.08. 06:15,0.0,kW
11.08. 06:30,0.0,kW
11.08. 06:45,0.02,kW
11.08. 07:00,0.1,kW
11.08. 07:15,0.15,kW
11.08. 07:30,0.23,kW
11.08. 07:45,0.27,kW
11.08. 08:00,0.34,kW
11.08. 08:15,0.6,kW
11.08. 08:30,0.82,kW
11.08. 08:45,0.7,kW
11.08. 09:00,0.74,kW
11.08. 09:15,1.27,kW
11.08. 09:30,2.3,kW
11.08. 09:45,3.51,kW
11.08. 10:00,4.38,kW
11.08. 10:15,5.14,kW
11.08. 10:30,5.6,kW
11.08. 10:45,6.01,kW
11.08. 11:00,6.43,kW
11.08. 11:15,6.95,kW
11.08. 11:30,7.25,kW
11.08. 11:45,7.5,kW
11.08. 12:00,7.76,kW
11.08. 12:15,8.04,kW
11.08. 12:30,7.7,kW
11.08. 12:45,8.4,kW
11.08. 13:00,8.66,kW
11.08. 13:15,8.77,kW
11.08. 13:30,8.75,kW
11.08. 13:45,8.73,kW
11.08. 14:00,8.84,kW
11.08. 14:15,8.82,kW
11.08. 14:30,8.67,kW
11.08. 14:45,8.68,kW
11.08. 15:00,8.51,kW
11.08. 15:15,8.35,kW
11.08. 15:30,8.14,kW
11.08. 15:45,7.95,kW
11.08. 16:00,7.5,kW
11.08. 16:15,7.37,kW
11.08. 16:30,7.0,kW
11.08. 16:45,6.66,kW
11.08. 17:00,6.22,kW
11.08. 17:15,5.82,kW
11.08. 17:30,5.23,kW
11.08. 17:45,4.91,kW
11.08. 18:00,4.06,kW
11.08. 18:15,4.05,kW
11.08. 18:30,3.04,kW
11.08. 18:45,3.06,kW
11.08. 19:00,2.05,kW
11.08. 19:15,1.77,kW
11.08. 19:30,0.98,kW
11.08. 19:45,0.52,kW
11.08. 20:00,0.26,kW
11.08. 20:15,0.15,kW
11.08. 20:30,0.1,kW
11.08. 20:45,0.05,kW
11.08. 21:00,0.01,kW
11.08. 21:15,0.0,kW
11.08. 21:30,0.0,kW
11.08. 21:45,0.0,kW
11.08. 22:00,0.0,kW
11.08. 22:15,0.0,kW
11.08. 22:30,0.0,kW
11.08. 22:45,0.0,kW
11.08. 23:00,0.0,kW
11.08. 23:15,0.0,kW
11.08. 23:30,0.0,kW
11.08. 23:45,0.0,kW
12.08. 00:00,0.0,kW
12.08. 00:15,0.0,kW
12.08. 00:30,0.0,kW
12.08. 00:45,0.0,kW
12.08. 01:00,0.0,kW
12.08. 01:15,0.0,kW
12.08. 01:30,0.0,kW
12.08. 01:45,0.0,kW
12.08. 02:00,0.0,kW
12.08. 02:15,0.0,kW
12.08. 02:30,0.0,kW
12.08. 02:45,0.0,kW
12.08. 03:00,0.0,kW
12.08. 03:15,0.0,kW
12.08. 03:30,0.0,kW
12.08. 03:45,0.0,kW
12.08. 04:00,0.0,kW
12.08. 04:15,0.0,kW
12.08. 04:30,0.0,kW
12.08. 04:45,0.0,kW
12.08. 05:00,0.0,kW
12.08. 05:15,0.0,kW
12.08. 05:30,0.0,kW
12.08. 05:45,0.0,kW
12.08. 06:00,0.0,kW
12.08. 06:15,0.0,kW
12.08. 06:30,0.0,kW
12.08. 06:45,0.01,kW
12.08. 07:00,0.1,kW
12.08. 07:15,0.14,kW
12.08. 07:30,0.19,kW
12.08. 07:45,0.24,kW
12.08. 08:00,0.3,kW
12.08. 08:15,0.55,kW
12.08. 08:30,0.78,kW
12.08. 08:45,0.58,kW
12.08. 09:00,0.73,kW
12.08. 09:15,1.23,kW
12.08. 09:30,2.27,kW
12.08. 09:45,3.5,kW
12.08. 10:00,4.53,kW
12.08. 10:15,5.22,kW
12.08. 10:30,5.66,kW
12.08. 10:45,6.1,kW
12.08. 11:00,6.55,kW
12.08. 11:15,6.87,kW
12.08. 11:30,7.16,kW
12.08. 11:45,7.56,kW
12.08. 12:00,7.85,kW
12.08. 12:15,8.08,kW
12.08. 12:30,8.28,kW
12.08. 12:45,8.43,kW
12.08. 13:00,8.47,kW
12.08. 13:15,8.56,kW
12.08. 13:30,8.83,kW
12.08. 13:45,8.77,kW
12.08. 14:00,8.84,kW
12.08. 14:15,8.74,kW
12.08. 14:30,8.73,kW
12.08. 14:45,8.54,kW
12.08. 15:00,8.29,kW
12.08. 15:15,8.52,kW
12.08. 15:30,7.97,kW
12.08. 15:45,7.61,kW
12.08. 16:00,7.91,kW
12.08. 16:15,6.75,kW
12.08. 16:30,5.52,kW
12.08. 16:45,5.85,kW
12.08. 17:00,4.39,kW
12.08. 17:15,5.22,kW
12.08. 17:30,4.88,kW
12.08. 17:45,5.28,kW
12.08. 18:00,4.98,kW
12.08. 18:15,1.63,kW
12.08. 18:30,3.6,kW
12.08. 18:45,3.12,kW
12.08. 19:00,2.97,kW
12.08. 19:15,2.1,kW
12.08. 19:30,1.32,kW
12.08. 19:45,0.51,kW
12.08. 20:00,0.26,kW
12.08. 20:15,0.16,kW
12.08. 20:30,0.08,kW
12.08. 20:45,0.05,kW
12.08. 21:00,0.01,kW
12.08. 21:15,0.0,kW
12.08. 21:30,0.0,kW
12.08. 21:45,0.0,kW
12.08. 22:00,0.0,kW
12.08. 22:15,0.0,kW
12.08. 22:30,0.0,kW
12.08. 22:45,0.0,kW
12.08. 23:00,0.0,kW
12.08. 23:15,0.0,kW
12.08. 23:30,0.0,kW
12.08. 23:45,0.0,kW
13.08. 00:00,0.0,kW
13.08. 00:15,0.0,kW
13.08. 00:30,0.0,kW
13.08. 00:45,0.0,kW
13.08. 01:00,0.0,kW
13.08. 01:15,0.0,kW
13.08. 01:30,0.0,kW
13.08. 01:45,0.0,kW
13.08. 02:00,0.0,kW
13.08. 02:15,0.0,kW
13.08. 02:30,0.0,kW
13.08. 02:45,0.0,kW
13.08. 03:00,0.0,kW
13.08. 03:15,0.0,kW
13.08. 03:30,0.0,kW
13.08. 03:45,0.0,kW
13.08. 04:00,0.0,kW
13.08. 04:15,0.0,kW
13.08. 04:30,0.0,kW
13.08. 04:45,0.0,kW
13.08. 05:00,0.0,kW
13.08. 05:15,0.0,kW
13.08. 05:30,0.0,kW
13.08. 05:45,0.0,kW
13.08. 06:00,0.0,kW
13.08. 06:15,0.0,kW
13.08. 06:30,0.0,kW
13.08. 06:45,0.0,kW
13.08. 07:00,0.09,kW
13.08. 07:15,0.13,kW
13.08. 07:30,0.17,kW
13.08. 07:45,0.24,kW
13.08. 08:00,0.28,kW
13.08. 08:15,0.53,kW
13.08. 08:30,0.7,kW
13.08. 08:45,0.54,kW
13.08. 09:00,0.6,kW
13.08. 09:15,1.11,kW
13.08. 09:30,2.06,kW
13.08. 09:45,3.57,kW
13.08. 10:00,4.29,kW
13.08. 10:15,5.14,kW
13.08. 10:30,5.63,kW
13.08. 10:45,6.09,kW
13.08. 11:00,6.45,kW
13.08. 11:15,6.87,kW
13.08. 11:30,7.22,kW
13.08. 11:45,7.46,kW
13.08. 12:00,7.82,kW
13.08. 12:15,8.04,kW
13.08. 12:30,8.35,kW
13.08. 12:45,8.55,kW
13.08. 13:00,8.42,kW
13.08. 13:15,8.27,kW
13.08. 13:30,8.84,kW
13.08. 13:45,8.83,kW
13.08. 14:00,8.84,kW
13.08. 14:15,8.58,kW
13.08. 14:30,8.64,kW
13.08. 14:45,8.68,kW
13.08. 15:00,8.46,kW
13.08. 15:15,7.97,kW
13.08. 15:30,8.04,kW
13.08. 15:45,7.81,kW
13.08. 16:00,7.49,kW
13.08. 16:15,7.23,kW
13.08. 16:30,6.99,kW
13.08. 16:45,6.61,kW
13.08. 17:00,6.22,kW
13.08. 17:15,5.88,kW
13.08. 17:30,5.41,kW
13.08. 17:45,5.02,kW
13.08. 18:00,4.52,kW
13.08. 18:15,4.06,kW
13.08. 18:30,3.56,kW
13.08. 18:45,3.04,kW
13.08. 19:00,2.41,kW
13.08. 19:15,1.94,kW
13.08. 19:30,1.26,kW
13.08. 19:45,0.48,kW
13.08. 20:00,0.24,kW
13.08. 20:15,0.16,kW
13.08. 20:30,0.09,kW
13.08. 20:45,0.04,kW
13.08. 21:00,0.01,kW
13.08. 21:15,0.0,kW
13.08. 21:30,0.0,kW
13.08. 21:45,0.0,kW
13.08. 22:00,0.0,kW
13.08. 22:15,0.0,kW
13.08. 22:30,0.0,kW
13.08. 22:45,0.0,kW
13.08. 23:00,0.0,kW
13.08. 23:15,0.0,kW
13.08. 23:30,0.0,kW
13.08. 23:45,0.0,kW
14.08. 00:00,0.0,kW
14.08. 00:15,0.0,kW
14.08. 00:30,0.0,kW
14.08. 00:45,0.0,kW
14.08. 01:00,0.0,kW
14.08. 01:15,0.0,kW
14.08. 01:30,0.0,kW
14.08. 01:45,0.0,kW
14.08. 02:00,0.0,kW
14.08. 02:15,0.0,kW
14.08. 02:30,0.0,kW
14.08. 02:45,0.0,kW
14.08. 03:00,0.0,kW
14.08. 03:15,0.0,kW
14.08. 03:30,0.0,kW
14.08. 03:45,0.0,kW
14.08. 04:00,0.0,kW
14.08. 04:15,0.0,kW
14.08. 04:30,0.0,kW
14.08. 04:45,0.0,kW
14.08. 05:00,0.0,kW
14.08. 05:15,0.0,kW
14.08. 05:30,0.0,kW
14.08. 05:45,0.0,kW
14.08. 06:00,0.0,kW
14.08. 06:15,0.0,kW
14.08. 06:30,0.0,kW
14.08. 06:45,0.05,kW
14.08. 07:00,0.14,kW
14.08. 07:15,0.2,kW
14.08. 07:30,0.24,kW
14.08. 07:45,0.28,kW
14.08. 08:00,0.39,kW
14.08. 08:15,0.57,kW
14.08. 08:30,0.79,kW
14.08. 08:45,0.7,kW
14.08. 09:00,0.7,kW
14.08. 09:15,1.05,kW
14.08. 09:30,1.87,kW
14.08. 09:45,2.99,kW
14.08. 10:00,4.46,kW
14.08. 10:15,5.1,kW
14.08. 10:30,5.57,kW
14.08. 10:45,5.8,kW
14.08. 11:00,6.12,kW
14.08. 11:15,6.39,kW
14.08. 11:30,6.82,kW
14.08. 11:45,7.17,kW
14.08. 12:00,7.47,kW
14.08. 12:15,7.87,kW
14.08. 12:30,8.15,kW
14.08. 12:45,8.36,kW
14.08. 13:00,8.45,kW
14.08. 13:15,8.51,kW
14.08. 13:30,8.72,kW
14.08. 13:45,8.64,kW
14.08. 14:00,8.72,kW
14.08. 14:15,8.72,kW
14.08. 14:30,8.53,kW
14.08. 14:45,7.99,kW
14.08. 15:00,8.16,kW
14.08. 15:15,6.75,kW
14.08. 15:30,6.82,kW
14.08. 15:45,7.55,kW
14.08. 16:00,7.09,kW
14.08. 16:15,6.68,kW
14.08. 16:30,5.45,kW
14.08. 16:45,4.75,kW
14.08. 17:00,3.43,kW
14.08. 17:15,2.73,kW
14.08. 17:30,2.4,kW
14.08. 17:45,2.13,kW
14.08. 18:00,2.12,kW
14.08. 18:15,2.02,kW
14.08. 18:30,1.95,kW
14.08. 18:45,1.51,kW
14.08. 19:00,1.02,kW
14.08. 19:15,0.71,kW
14.08. 19:30,0.55,kW
14.08. 19:45,0.43,kW
14.08. 20:00,0.32,kW
14.08. 20:15,0.16,kW
14.08. 20:30,0.09,kW
14.08. 20:45,0.03,kW
14.08. 21:00,0.0,kW
14.08. 21:15,0.0,kW
14.08. 21:30,0.0,kW
14.08. 21:45,0.0,kW
14.08. 22:00,0.0,kW
14.08. 22:15,0.0,kW
14.08. 22:30,0.0,kW
14.08. 22:45,0.0,kW
14.08. 23:00,0.0,kW
14.08. 23:15,0.0,kW
14.08. 23:30,0.0,kW
14.08. 23:45,0.0,kW
15.08. 00:00,0.0,kW
15.08. 00:15,0.0,kW
15.08. 00:30,0.0,kW
15.08. 00:45,0.0,kW
15.08. 01:00,0.0,kW
15.08. 01:15,0.0,kW
15.08. 01:30,0.0,kW
15.08. 01:45,0.0,kW
15.08. 02:00,0.0,kW
15.08. 02:15,0.0,kW
15.08. 02:30,0.0,kW
15.08. 02:45,0.0,kW
15.08. 03:00,0.0,kW
15.08. 03:15,0.0,kW
15.08. 03:30,0.0,kW
15.08. 03:45,0.0,kW
15.08. 04:00,0.0,kW
