Date,temp,rhum,0101-ZE01-70,0101-ZE01-74,0141-ZE01-70,0141-ZE01-74,0145-ZE02-70,0213-ZE01-71,0223-ZE01-71,0223-ZE02-71,0232-ZE01-71,0242-ZE01-70,0242-ZE01-74,0243-ZE01-70,0245-ZE01-70,0301-ZE01-70,0301-ZE01-74,0301-ZE02-70,0301-ZE02-74,0301-ZE03-70,0301-ZE03-74,0303-ZE01-70,0310-ZE01-70,0330-ZE01-74,0330-ZE02-70,0330-ZE03-70,0353-ZE01-70,0353-ZE03-70,0404-ZE01-70,0430-ZE01-70,0439-ZE01-70,0439-ZE01-72,0439-ZE02-70,5311-ZE01-70,6907-ZE01-74,hour sin,hour cos,dayofweek sin,dayofweek cos
2019-01-01 01:00:00,0.32382892057026474,0.9638554216867471,0.0,0.0,0.16521403628058462,0.16521403628038264,0.0,0.0,0.4135477884343009,0.3056119299054215,0.0,0.42595766632005333,0.42595766632040144,0.1971899931660872,0.0,0.0,0.3397101973786312,0.33971019737878444,0.33971019737863123,0.3275946260646597,0.0,0.13833017945432782,0.4803271310746427,0.3251980982564873,0.0,0.0,0.0,0.11187785445425441,0.28831306553290037,0.0,0.6051692650598548,0.0,0.0,0.0,0.2002096436060009,0.1720132573817148,0.0,0.00871676338329952,0.4070441964188406
2019-01-01 02:00:00,0.32179226069246436,0.9638554216867471,0.0,0.22140817086789782,0.0,0.16521403628038264,0.0,0.0520050125318686,0.41200123723481796,0.3056119299054215,0.03437041677075253,0.4298382534063626,0.42983825340581644,0.0,0.0,0.0,0.3397101973786312,0.33971019737878444,0.33971019737863123,0.328638549087074,0.0,0.13833017945432782,0.4803271310746427,0.3251980982564873,0.0,0.3217115689396918,0.0,0.11187785445425441,0.28831306553290037,0.06800618237730502,0.6075208540323157,0.0,0.2835692835699565,0.0,0.20283018868029165,0.6488962466566813,0.0,0.005584586887427356,0.42547886691196823
2019-01-01 03:00:00,0.3197556008146639,0.9638554216867471,0.0,0.22115981621913824,0.16521403628058462,0.1739311264858655,0.0,0.0,0.41200123723481796,0.2989414210313746,0.034689333291636426,0.42706593004006815,0.42706593003952564,0.0,0.04023335344718855,0.0,0.31768018740479237,0.3176801874052895,0.3176801874047924,0.3275946260646597,0.0,0.14137618955857995,0.4811485246811894,0.321711568939537,0.4212170436164569,0.3217115689396918,0.0,0.11302739468332003,0.0,0.0,0.6051692650598548,0.0,0.2865722865751388,0.6212895895301073,0.20545073375156878,0.1280765072268279,0.0,0.00314389505340007,0.4440177619481563
2019-01-01 04:00:00,0.3197556008146639,0.9518072289156628,0.0,0.0,0.17393112648564413,0.1752403248803213,0.0,0.051109917650977,0.41200123723481796,0.29617059426095704,0.0,0.4298382534063626,0.42983825340581644,0.0,0.040635686986161254,0.0,0.31768018740479237,0.0,0.3176801874047924,0.328638549087074,0.0,0.14137618955857995,0.4819662294109014,0.321711568939537,0.4208421841800268,0.3217115689396918,0.10973626678511597,0.11455858230135622,0.28831306553290037,0.0,0.0,0.0,0.2870012870011062,0.0,0.20649895178183536,0.6049594965017945,0.0,0.001398101409442687,0.46263495320635106
2019-01-01 05:00:00,0.3197556008146639,0.9397590361445783,0.0,0.0,0.17393112648564413,0.1739311264858655,0.0,0.0520050125318686,0.4141664089040117,0.0,0.0,0.4298399174544583,0.42983991745453587,0.0,0.041038020517815556,0.0,0.3176819267223204,0.0,0.3176819267223204,0.0,0.0,0.13833017945432782,0.4819662294109014,0.32234548336247554,0.4212170436164569,0.3223454833625259,0.0,0.11609206896719741,0.28448222598087297,0.0,0.6039987589807908,0.0,0.2878592878608445,0.0,0.20649895178183536,0.08413975707194093,0.0,0.0003496476057923137,0.48130440286206144
2019-01-01 06:00:00,0.3136456211812627,0.9518072289156628,0.0,0.22140817086789782,0.0,0.0,0.0,0.0,0.0,0.29617059426095704,0.0,0.0,0.0,0.1961104681690164,0.04144035405678826,0.0,0.3182611145771388,0.0,0.3182611145771388,0.0,0.0,0.13711250674517453,0.4823769262141745,0.32361331220240963,0.4317131075910289,0.0,0.10973626678511597,0.11647486588843446,0.28448222598087297,0.0,0.0,0.0,0.0,0.6035541826302533,0.20702306079546187,0.5610227463469075,0.0,0.0,0.4999999999999773
2019-01-01 07:00:00,0.31568228105906315,0.9397590361445783,0.24897553707022393,0.22227741214495927,0.1800350514664377,0.18003505146663032,0.0,0.0,0.0,0.3145401494889008,0.034689333291636426,0.43150397710073773,0.43150397710066235,0.1971899931660872,0.0,0.0,0.0,0.0,0.0,0.32081460427775826,0.0,0.0,0.0,0.0,0.0,0.0,0.10973626678511597,0.0,0.0,0.08809891807905164,0.6039987589807908,0.22876661700000625,0.2878592878608445,0.0,0.21121593291390775,0.04020300691705403,0.0,0.00034964760579064835,0.5186955971378933
2019-01-01 08:00:00,0.3197556008146639,0.9156626506024098,0.27716378989241786,0.2489755370704874,0.0,0.0,0.059691912708600775,0.051109917650977,0.0,0.32552083333065723,0.034689333291636426,0.43427630046703225,0.434276300466953,0.23879060780497544,0.04184268758844256,0.0,0.3194194902900369,0.3176801874052895,0.31941949029003686,0.3291612931495371,0.0,0.13711250674517453,0.4823769262141745,0.32361331220240963,0.4317131075910289,0.3223454833625259,0.10873248653758445,0.11647486588843446,0.31130241358734756,0.0,0.607520854057968,0.0,0.2960102960088498,0.0,0.21698113207611572,0.5170859961920207,0.0,0.0013981014094392452,0.5373650467936038
2019-01-01 09:00:00,0.329938900203666,0.8795180722891568,0.27716378989241786,0.2771637898927123,0.22842176852907112,0.22842176852878354,0.0,0.052631578949013734,0.0,0.3373225028910166,0.0,0.43427630046703225,0.434276300466953,0.23879060782856276,0.0535103600869197,0.0,0.3194194902900369,0.3176801874305998,0.31941949029003686,0.0,0.0,0.21145636215895489,0.4823769262141745,0.3198098256768625,0.4324628264366145,0.31980982567695493,0.0,0.11570927207941636,0.3314179135468646,0.0,0.6110464747313719,0.22953333501977985,0.0,0.6035541826302533,0.21907756813389737,0.9939689854669873,0.0,0.0031438950533950183,0.5559822380517987
2019-01-01 10:00:00,0.340122199592668,0.855421686746988,0.27716378989241786,0.2771637898927123,0.23016518657151044,0.23016518657146046,0.0,0.05093089867427767,0.0,0.0,0.034689333291636426,0.4359403601012041,0.43594036010059906,0.0,0.0535103600869197,0.0,0.3194194902900369,0.3194194902899134,0.31941949029003686,0.0,0.0,0.2120651985068801,0.48401602455937986,0.31980982567111765,0.4327127327336289,0.31980982567118954,0.0,0.11494252873813177,0.3376426686034543,0.0,0.613398063729485,0.22953333501977985,0.3054483054503643,0.6035541826302533,0.21907756813389737,0.47314924603713376,0.0,0.005584586887420584,0.5745211330879869
